2,0.0000019948,2008,0.0000018697,2008
4,0.0000014049,2008,0.0000017047,2008
8,0.0000016449,2008,0.0000015147,2008
16,0.0000013947,2008,0.0000014549,2008
32,0.0000046946,2008,0.0000017349,2008
64,0.0000014150,2008,0.0000012048,2008
128,0.0000021848,2008,0.0000017048,2008
256,0.0000011150,2008,0.0000012998,2008
512,0.0000014749,2008,0.0000013298,2008
1024,0.0000025498,2008,0.0000024998,2008
2048,0.0000013448,2008,0.0000039447,2008
4096,0.0000015047,2008,0.0000015949,2008
8192,0.0000018097,4086,0.0000032697,4086
16384,0.0000023648,4088,0.0000025699,4088
32768,0.0000035547,4148,0.0000042446,4152
65536,0.0000061893,4152,0.0000070094,4412
131072,0.0000091341,4399,0.0000106788,4940
262144,0.0000180489,5157,0.0000158740,5989
524288,0.0000236628,6424,0.0000277683,8100
1048576,0.0000593001,8893,0.0000521902,12188
2097152,0.0000958650,13831,0.0001122599,20179
4194304,0.0002108249,23643,0.0001986700,36550
8388608,0.0004535700,12219,0.0003660400,44992
16777216,0.0007136600,20411,0.0008590550,85952
